"Suite","Name","Outcome","Message"
"components","CanDoItAll.Tests.Components.AgentFramework.AgentPanelSelectionFailClosedTests.Chat_panel_clears_a_valid_selection_when_the_requested_agent_becomes_missing","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Cancelling_delete_does_not_mutate_or_close_agent_details","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Changing_workspace_profile_preserves_existing_external_root_binding(selectedProfile: Custom)","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentProviderPresentationMapperTests.Provider_profile_maps_to_neutral_presentation_and_round_trips_its_identifier","Failed","Assert.Equal() Failure: Collections differ"
"components","CanDoItAll.Tests.Components.CrmHr.HrAgentAuthorizationTests.Catalog_and_peer_text_carry_untrusted_markers_for_injection_shaped_content","Failed","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogProjectStructureAccessTests.Save_normalizes_a_stale_mixed_project_scope_before_persistence","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogProjectStructureAccessTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Storage_catalog_picker_selection_is_saved_from_the_typed_field","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_keeps_the_current_thread_when_reload_returns_another_thread","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests.Failed_delete_keeps_agent_details_open_and_usable","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogDeletionTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Removing_a_saved_storage_catalog_removes_its_id_on_save","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
